N_Ser,N_Par,Irradiation,Temperature,Current,Voltage,Label
9,10,1110,85,65.60467196,280.17,3
9,10,10,5,0.5818116754,219.21,3
9,10,10,15,0.5840401955,209.07,3
9,10,10,25,0.5859568704,198.984,3
9,10,10,35,0.5876446582,188.91,3
9,10,10,45,0.5888789526,178.9029432,3
9,10,10,55,0.5897769993,168.9,3
9,10,10,65,0.5901981518,158.91,3
9,10,10,75,0.590016805,148.92,3
9,10,10,85,0.5889029654,138.9462812,3
9,10,110,5,6.411585408,241.602,3
9,10,110,15,6.439258858,232.24797,3
9,10,110,25,6.46376526,222.96,3
9,10,110,35,6.486572354,213.678,3
9,10,110,45,6.506860816,204.421984,3
9,10,110,55,6.52365766,195.21,3
9,10,110,65,6.537814099,186,3
9,10,110,75,6.547634817,176.82,3
9,10,110,85,6.551939411,167.67,3
9,10,210,5,12.23262364,247.5,3
9,10,210,15,12.28359134,238.428,3
9,10,210,25,12.33084363,229.38,3
9,10,210,35,12.37443017,220.35,3
9,10,210,45,12.41219961,211.368,3
9,10,210,55,12.44671743,202.38,3
9,10,210,65,12.47201061,193.47,3
9,10,210,75,12.49165479,184.56,3
9,10,210,85,12.50196752,175.68,3
9,10,310,5,18.03653514,251.04,3
9,10,310,15,18.11091815,242.13,3
9,10,310,25,18.17952725,233.25,3
9,10,310,35,18.2418969,224.4,3
9,10,310,45,18.29582092,215.5989,3
9,10,310,55,18.34263473,206.82,3
9,10,310,65,18.38157489,198.06,3
9,10,310,75,18.40711745,189.36,3
9,10,310,85,18.4225127,180.66,3
9,10,410,5,23.82621891,253.53,3
9,10,410,15,23.92091575,244.77,3
9,10,410,25,24.00737894,236.046,3
9,10,410,35,24.08368551,227.37,3
9,10,410,45,24.1529608,218.7048,3
9,10,410,55,24.21241601,210.0680807,3
9,10,410,65,24.25517858,201.5053017,3
9,10,410,75,24.28555827,192.96,3
9,10,410,85,24.29931412,184.4424699,3
9,10,510,5,29.59350303,255.51,3
9,10,510,15,29.70543495,246.888,3
9,10,510,25,29.80856676,238.29,3
9,10,510,35,29.90180629,229.719891,3
9,10,510,45,29.98265534,221.19,3
9,10,510,55,30.04557207,212.73,3
9,10,510,65,30.09401888,204.3,3
9,10,510,75,30.12375407,195.91104,3
9,10,510,85,30.13380341,187.5444538,3
9,10,610,5,35.33859497,257.16,3
9,10,610,15,35.47032142,248.6289,3
9,10,610,25,35.58764946,240.15,3
9,10,610,35,35.68593952,231.7462117,3
9,10,610,45,35.77320796,223.3562273,3
9,10,610,55,35.84339305,215.01,3
9,10,610,65,35.89032364,206.73,3
9,10,610,75,35.91679962,198.48,3
9,10,610,85,35.91609737,190.2718098,3
9,10,710,5,41.06348845,258.57,3
9,10,710,15,41.20631793,250.17,3
9,10,710,25,41.33086825,241.83,3
9,10,710,35,41.44107029,233.52,3
9,10,710,45,41.53031633,225.27,3
9,10,710,55,41.60062129,217.0580299,3
9,10,710,65,41.64236096,208.92,3
9,10,710,75,41.55947619,201.3978124,3
9,10,710,85,41.64514004,192.75,3
9,10,810,5,46.75773889,259.866,3
9,10,810,15,46.90897239,251.5889414,3
9,10,810,25,47.04304112,243.3521707,3
9,10,810,35,47.1559907,235.17,3
9,10,810,45,47.24660173,227.04,3
9,10,810,55,47.31094696,218.97,3
9,10,810,65,47.33894755,210.99,3
9,10,810,75,47.34700411,203.0056666,3
9,10,810,85,47.31209298,195.09,3
9,10,910,5,52.42427947,261.06,3
9,10,910,15,52.58497284,252.8832,3
9,10,910,25,52.71983865,244.7778475,3
9,10,910,35,52.82840835,236.7377144,3
9,10,910,45,52.9114999,228.75,3
9,10,910,55,52.970202,220.8,3
9,10,910,65,52.91566699,213.2305754,3
9,10,910,75,52.96508899,205.1453871,3
9,10,910,85,52.91394082,197.34,3
9,10,1010,5,58.05764608,262.197695,3
9,10,1010,15,58.22073332,254.14,3
9,10,1010,25,58.3576765,246.1428945,3
9,10,1010,35,58.45925473,238.2371111,3
9,10,1010,45,58.53336323,230.38,3
9,10,1010,55,58.56988761,222.6,3
9,10,1010,65,58.5659897,214.89,3
9,10,1010,75,58.52536528,207.214,3
9,10,1010,85,58.44356302,199.557,3
9,10,1110,5,63.66014227,263.2882597,3
9,10,1110,15,63.82033175,255.3575266,3
9,10,1110,25,63.94936541,247.4961692,3
9,10,1110,35,64.04038444,239.7224238,3
9,10,1110,45,64.09528446,232.0185,3
9,10,1110,55,64.11440898,224.370981,3
9,10,1110,65,64.08449101,216.809,3
9,10,1110,75,64.01014718,209.2911585,3
9,10,1110,85,63.89858994,201.761,3
9,10,10,5,0.5842288766,43.8807036,3
9,10,10,15,0.5864931999,41.8407036,3
9,10,10,25,0.5881971698,39.8307036,3
9,10,10,35,0.5897348647,37.8207036,3
9,10,10,45,0.5909478588,35.82,3
9,10,10,55,0.5921298529,33.81,3
